URL,Title,Price,Pictures,Category,Description
https://www.tronex.ba/katalog/folije-za-kucanstvo,"Folije za kućanstvo","7,00",https://www.tronex.ba/wp-content/uploads/Folija-1-400x400.png,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Višekratne folije za kućanstvo set 8u1 K Classic</p>
<p>Folija za održavanje svježine, 8-dijelna<br />
Set sadrži:<br />
2x ca 19x19cm<br />
4x ca 14x14cm<br />
2x ca 10x10cm<br />
Materijal: silikon<br />
Za višekratnu upotrebu<br />
Ne propušta zrak i savršeno pristaje<br />
Otporna na temperature -40 do +230°C<br />
Prikladna za perilicu posuđa i mikrovalnu pećnicu</p>
                    </div>"
https://www.tronex.ba/katalog/set-za-marinadu,"Set za marinadu","9,90",https://www.tronex.ba/wp-content/uploads/Set-za-marinadu-400x400.png,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Set za mariniranje mesa K Classic</p>
<p>Za mariniranje različitih vrsta mesa, npr. peradi, govedine, svinjetine itd.<br />
Marinada se može ubrizgati izravno u meso preko igle što rezultira znatno intenzivnijom aromom.<br />
Vrijeme mariniranja se značajno skraćuje<br />
Igle za ubrizgavanje osiguravaju bolju raspodjelu marinade u mesu<br />
Set sadrži:<br />
1x šprica za mariniranje 50ml (od plastike, nehrđajućeg čelika i silikona) veličine 10cm x 3,2cm<br />
1x kist za mariniranje (plastika, i silikon 21,5cm x 4cm)<br />
2x igla za ubrizgavanje (nehrđajući čelik, jedna igla sa 4 manje rupice za rjeđe tekućine, jedna igla sa dvije veće rupice za gušće tekućine)<br />
Prikladno za perilicu posuđa</p>
                    </div>"
https://www.tronex.ba/katalog/prtoduzni-kabel-easy-home,"Produžni kabel Easy Home SLE","13,90",https://www.tronex.ba/wp-content/uploads/Produžni-kabel-Easy-Home-GT-SLe-01.png,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Produžni kabel Easy Home GT-SLe-01</p>
<p>Broj utičnica: 6<br />
Propusnost: 3680W<br />
Prekostrujna zaštita: 16A<br />
Glavni On-Off prekidač<br />
Zasebni prekidači sa svjetlosnim indikatorom za svaku utičnicu<br />
Duljina kabela: 2m</p>
                    </div>"
https://www.tronex.ba/katalog/komoda-living-style-sitzbank,"Komoda Living Style Sitzbank","39,00",https://www.tronex.ba/wp-content/uploads/Living-style-sitzbank-1-400x400.jpg,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Modern dezen: San Remo hrast<br />
Bijela ladica<br />
Podloga s premazom melaminske smole otporne na ogrebotine<br />
Otvaranje ladice laganim pritiskom na ladicu<br />
Dimenzije (ŠxVxD): 75x48x38cm</p>
                    </div>"
https://www.tronex.ba/katalog/polica-living-style,"Polica Living Style","45,00",https://www.tronex.ba/wp-content/uploads/Polica-Living-Style-industrial-400x400.png,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Living Style Industrial<br />
Dimenzije ŠxVxD: 60x120x32cm<br />
Police 15mm pojedinačne nosivosti 10kg<br />
Moderan dizajn</p>
                    </div>"
https://www.tronex.ba/katalog/stolic-living-style,"Stolić Living Style","45,00",https://www.tronex.ba/wp-content/uploads/Stolić-Living-Style-industrial.png,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Living Style Industrial</p>
<p>Dimenzije ŠxDxV: 60x120x32cm<br />
Ploča debljine 18mm nosivosti 30kg<br />
Moderan dizajn</p>
                    </div>"
https://www.tronex.ba/katalog/vjesalica-home-decor,"Vješalica Home Decor 45296","19,00",https://www.tronex.ba/wp-content/uploads/Vješalica-čiviluk-Living-Style-400x400.png,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Drvena vješalica Living Style<br />
Boja: Bijela i siva<br />
Visina 165cm</p>
<p>Promjer nosača 40cm</p>
                    </div>"
https://www.tronex.ba/katalog/hoklica-stolic,"Hoklica / stolić 45295","12,00",https://www.tronex.ba/wp-content/uploads/Hoklica-400x312.png,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Dostupna u trendi bojama: plava, siva, bijela</p>
<p>Visina: 42cm</p>
<p>Promjer ploče: 30cm</p>
<p>Nosivost do 100kg</p>
<p>Pogodna za sjedenje kao i stolić</p>
                    </div>"
https://www.tronex.ba/katalog/kamin-konzola,"Kamin konzola","59,00",https://www.tronex.ba/wp-content/uploads/kamin-konzola.jpg,Namještaj,"<div class=""tab-content-scroll"">
                        
<p>Living style</p>
<p>Dimenzije:</p>
<p>širina 107cm</p>
<p>visina: 100cm</p>
                    </div>"
https://www.tronex.ba/katalog/uvijac-za-kosu-babyliss-tw1000e,"Uvijač za kosu Babyliss TW1000E","29,90",https://www.tronex.ba/wp-content/uploads/Uvijač-za-kosu-Babyliss-TW1000E-1-400x400.jpg,"Osobna njega","<div class=""tab-content-scroll"">
                        
<p>Twist Secret &#8211; pletenice u nekoliko sekundi!<br />
Pletenice su upletene brzo i bez napora.<br />
Precizan i raznolik styling.<br />
Za maksimalnu zabavu i styling frizure kombinirajte s dodatno raspoloživim priborom, kao što su ukosnice, trake i ukrasi za kosu. Vaša mašta ne poznaje granice.<br />
Styling savjete i upute stručnjaka mogu se naći u Twist Secret App, koje se mogu preuzeti besplatno putem iTunes i Google Play-a.<br />
Uz novi Twist Secret BaByliss se brzo i bez napora upletu pojedinačne pletenice. Da biste to napravili, 2 pramena umetnite u otvore i uvijte ih jedan oko drugoga.<br />
Dva široka otvora za umetanje pramenova.<br />
Uvijanje pojedinačnih pramenova i dva pramena jednog oko drugog.<br />
Start set za kosu, glavu i narukvice uključen u pakiranju.<br />
Napravite vlastiti styling &#8211; ne samo u kosi.<br />
Twist Secret aplikacija s savjetima za styling i korištenje.<br />
Baterije (2x AA) uključene.<br />
LED prikaz on/off.</p>
                    </div>"
